"","month","means"
"1",6,41.8391959798995
"2",7,199.527638190955
"3",8,169.522613065327
"4",9,132.155778894472
"5",10,121.27135678392
"6",11,118.120603015075
"7",12,135.085427135678
"8",1,119.638190954774
"9",2,127.814070351759
"10",3,150.1608040201
"11",4,141.407035175879
"12",5,137.442211055276
"13",6,152.402010050251
"14",7,184.226130653266
"15",8,133.241206030151
"16",9,120.457286432161
"17",10,141.447236180905
"18",11,128.668341708543
"19",12,125.8391959799
"20",1,138.542713567839
"21",2,125.809045226131
"22",3,127.753768844221
"23",4,129.301507537688
"24",5,127.507537688442
"25",6,128.05527638191
"26",7,199.899497487437
"27",8,155.86432160804
"28",9,124.633165829146
"29",10,199.266331658291
"30",11,129.633165829146
"31",12,128.733668341709
"32",1,129.457286432161
"33",2,130.497487437186
"34",3,172.72864321608
"35",4,158.814070351759
"36",5,181.326633165829
"37",6,197.120603015075
"38",7,25.4673366834171
"39",8,198.658291457286
"40",9,186.592964824121
"41",10,156.090452261307
"42",11,163.437185929648
"43",12,158.974874371859
"44",1,159.738693467337
"45",2,159.994974874372
"46",3,157
